ts,time,strategy,bar_ts,bar_time,settlement_ts,settlement_age_sec,rate,z,position,resting_limit_px,resting_deadline_ts,action,schema
1789924540,2026-09-20 17:15 UTC,funding_z168_limit_entry_v1,1789920000,2026-09-20 16:00 UTC,1789920000,0,1.19933875e-05,0.2634,flat,,,,1
1789928347,2026-09-20 18:19 UTC,funding_z168_limit_entry_v1,1789923600,2026-09-20 17:00 UTC,1789923600,0,6.824791667e-06,-0.3764,flat,,,,1
1789931657,2026-09-20 19:14 UTC,funding_z168_limit_entry_v1,1789927200,2026-09-20 18:00 UTC,1789927200,0,9.0538625e-06,-0.0946,flat,,,,1
1789935440,2026-09-20 20:17 UTC,funding_z168_limit_entry_v1,1789930800,2026-09-20 19:00 UTC,1789930800,0,6.8684125e-06,-0.3627,flat,,,,1
1789939000,2026-09-20 21:16 UTC,funding_z168_limit_entry_v1,1789934400,2026-09-20 20:00 UTC,1789934400,0,6.105958333e-06,-0.4526,flat,,,,1
1789942583,2026-09-20 22:16 UTC,funding_z168_limit_entry_v1,1789938000,2026-09-20 21:00 UTC,1789938000,0,4.64645e-06,-0.6303,flat,,,,1
1789946173,2026-09-20 23:16 UTC,funding_z168_limit_entry_v1,1789941600,2026-09-20 22:00 UTC,1789941600,0,3.823625e-06,-0.7275,flat,,,,1
1789950309,2026-09-21 00:25 UTC,funding_z168_limit_entry_v1,1789945200,2026-09-20 23:00 UTC,1789945200,0,8.291595833e-06,-0.1667,flat,,,,1
1789953419,2026-09-21 01:16 UTC,funding_z168_limit_entry_v1,1789948800,2026-09-21 00:00 UTC,1789948800,0,1.125189167e-05,0.2029,flat,,,,1
1789957060,2026-09-21 02:17 UTC,funding_z168_limit_entry_v1,1789952400,2026-09-21 01:00 UTC,1789952400,0,8.914020833e-06,-0.0893,flat,,,,1
1789960715,2026-09-21 03:18 UTC,funding_z168_limit_entry_v1,1789956000,2026-09-21 02:00 UTC,1789956000,0,8.315329167e-06,-0.1693,flat,,,,1
1789964312,2026-09-21 04:18 UTC,funding_z168_limit_entry_v1,1789959600,2026-09-21 03:00 UTC,1789959600,0,1.165869167e-05,0.2427,flat,,,,1
1789967860,2026-09-21 05:17 UTC,funding_z168_limit_entry_v1,1789963200,2026-09-21 04:00 UTC,1789963200,0,1.592065e-05,0.7745,flat,,,,1
1789971937,2026-09-21 06:25 UTC,funding_z168_limit_entry_v1,1789966800,2026-09-21 05:00 UTC,1789966800,0,1.027223333e-05,0.0709,flat,,,,1
1789975178,2026-09-21 07:19 UTC,funding_z168_limit_entry_v1,1789970400,2026-09-21 06:00 UTC,1789970400,0,1.473745833e-05,0.631,flat,,,,1
1789978800,2026-09-21 08:20 UTC,funding_z168_limit_entry_v1,1789974000,2026-09-21 07:00 UTC,1789974000,0,1.260132083e-05,0.3578,flat,,,,1
1789982352,2026-09-21 09:19 UTC,funding_z168_limit_entry_v1,1789977600,2026-09-21 08:00 UTC,1789977600,0,5.542154167e-06,-0.5258,flat,,,,1
1789985946,2026-09-21 10:19 UTC,funding_z168_limit_entry_v1,1789981200,2026-09-21 09:00 UTC,1789981200,0,1.422965417e-05,0.5626,flat,,,,1
1789989503,2026-09-21 11:18 UTC,funding_z168_limit_entry_v1,1789984800,2026-09-21 10:00 UTC,1789984800,0,2.006055833e-05,1.2851,flat,,,,1
1789993311,2026-09-21 12:21 UTC,funding_z168_limit_entry_v1,1789988400,2026-09-21 11:00 UTC,1789988400,0,1.621453333e-05,0.7934,flat,,,,1
1789996669,2026-09-21 13:17 UTC,funding_z168_limit_entry_v1,1789992000,2026-09-21 12:00 UTC,1789992000,0,1.46856125e-05,0.6009,flat,,,,1
1790000312,2026-09-21 14:18 UTC,funding_z168_limit_entry_v1,1789995600,2026-09-21 13:00 UTC,1789995600,0,1.540813333e-05,0.6901,flat,,,,1
