event_id,strategy,signal_ts,signal_time,observed_ts,observed_late,close,high24,sma_fast,sma_slow,sigma_ann,rvol_num,rvol_den,rvol,target_weight,cooldown_ok,gate,decision,reason,data_status,venue,schema
sma_1d_30d_v25_v1:1789905600,sma_1d_30d_v25_v1,1789905600,2026-09-20 12:00 UTC,1789910208,False,80463.25,81913.69,80900.91083333334,78359.7469861111,0.35210025252851707,19.97138634,67.13850757,0.2974654496032313,0.7100250516853923,,,entered,trend_up_entry,ok,bitstamp:btcusd,1
rvol2_breakout24h_v25_v1:1789948800,rvol2_breakout24h_v25_v1,1789948800,2026-09-21 00:00 UTC,1789953419,False,81599.52,81452.45,80740.95208333334,78416.9613888889,0.349151701641314,91.44796602,49.875236495,1.8335344841756822,0.7160211415977196,True,False,rejected,rvol_below_2.0,ok,bitstamp:btcusd,1
rvol2_breakout24h_v25_v1:1789977600,rvol2_breakout24h_v25_v1,1789977600,2026-09-21 08:00 UTC,1789982352,False,83750.44,82061.62,81163.04541666666,78460.24568055556,0.35644332975382775,452.70334194,60.24209472,7.514734406964526,0.7013737644428885,False,,rejected,cooldown,ok,bitstamp:btcusd,1
rvol2_breakout24h_v25_v1:1789981200,rvol2_breakout24h_v25_v1,1789981200,2026-09-21 09:00 UTC,1789985946,False,84635.09,84257.28,81337.62999999999,78470.78940277778,0.35821200444910245,350.11652682,49.293841935,7.1026422992484886,0.6979107257571596,False,,rejected,cooldown,ok,bitstamp:btcusd,1
rvol2_breakout24h_v25_v1:1789992000,rvol2_breakout24h_v25_v1,1789992000,2026-09-21 12:00 UTC,1789996669,False,85302.94,85248.38,81895.42916666667,78503.04897222223,0.3590470747422996,186.9640221,67.13850757,2.7847509405100705,0.6962875276993514,False,,rejected,cooldown,ok,bitstamp:btcusd,1
rvol2_breakout24h_v25_v1:1789999200,rvol2_breakout24h_v25_v1,1789999200,2026-09-21 14:00 UTC,1790003788,False,85798.27,85797.32,82313.41083333333,78526.58198611111,0.35913793138308064,218.31421017,147.646636435,1.4786263706461793,0.6961113771447694,False,,rejected,cooldown,ok,bitstamp:btcusd,1
funding_z168_limit_entry_v1:1790010000,funding_z168_limit_entry_v1,1790010000,2026-09-21 17:00 UTC,1790014824,True,85904.18,86332.28,82917.29625,78563.08709722222,0.3588971381309277,68.71200287,56.729577785000004,1.2112200646091942,,,,missed,stale_past_entry_deadline,ok,bitstamp:btcusd,1
rvol2_breakout24h_v25_v1:1790017200,rvol2_breakout24h_v25_v1,1790017200,2026-09-21 19:00 UTC,1790021858,False,86480.3,86332.28,83348.9825,78587.91290277778,0.3592590503899799,150.80679028,44.85867364,3.3618200905861646,0.6958766932346508,False,,rejected,cooldown,ok,bitstamp:btcusd,1
rvol2_breakout24h_v25_v1:1790020800,rvol2_breakout24h_v25_v1,1790020800,2026-09-21 20:00 UTC,1790025422,False,86983.49,86876.27,83595.06416666666,78601.33897222222,0.3597659839749337,230.82658649,40.00187347,5.770394395730286,0.6948961578797246,False,,rejected,cooldown,ok,bitstamp:btcusd,1
funding_z168_limit_entry_v1:1790092800,funding_z168_limit_entry_v1,1790092800,2026-09-22 16:00 UTC,1790097390,False,86447.39,87373.64,86041.81125,78854.13980555555,0.35981408511354207,109.63094571,60.72399762,1.8053973718273788,1.0,,,resting_placed,funding_z_entry,ok,bitstamp:btcusd,1
funding_z168_limit_entry_v1:1790096400,funding_z168_limit_entry_v1,1790096400,2026-09-22 17:00 UTC,1790101328,True,86575.99,87373.64,86069.80333333333,78867.18248611111,0.3596921628344473,102.50385018,56.729577785000004,1.806885476364382,,,,rejected,order_already_resting,ok,bitstamp:btcusd,1
rvol2_breakout24h_v25_v1:1790136000,rvol2_breakout24h_v25_v1,1790136000,2026-09-23 04:00 UTC,1790140607,False,87159.93,86937.27,86207.3075,79005.482875,0.35661089134379287,39.26855278,31.345539285,1.2527636683153656,0.7010442083188817,True,False,rejected,rvol_below_2.0,ok,bitstamp:btcusd,1
funding_z168_limit_entry_v1:1790139600,funding_z168_limit_entry_v1,1790139600,2026-09-23 05:00 UTC,1790144628,True,86491.55,87271.74,86253.95208333334,79018.44216666666,0.35748169948579445,63.01133737,43.7977841,1.4386877935680769,0.0,,,entered,funding_exit_z,ok,bitstamp:btcusd,1
